,eng_anger,eng_joy,eng_trust,eng_sadness,eng_disgust,eng_fear,eng_anticipation,eng_surprise,it_anger,it_joy,it_trust,it_sadness,it_disgust,it_fear,it_anticipation,it_surprise
0,1.9384309179860237,-1.3300403602210495,0.3616926329058974,-0.16015090574521393,0.8979228035070783,1.36985683710535,1.5054719279017714,0.40961036012456165,-1.8873282533106739,-0.8717056453012227,0.5546673045290841,-0.9755741578818743,-1.2541841404320029,-0.37391902888471706,0.36856998877834646,-1.323038290220878
1,-0.6543761976361034,-1.2952385807008202,3.5148536154694363,-1.4007345607191388,-1.256115181861352,-1.7324778063247617,-1.1213999646514936,-0.9551166269097877,-1.014907857915888,0.018392352893319606,1.9887329557539097,-0.8184037902341997,-0.6133831998891409,-1.2973991486553524,-0.4759712938469837,-0.09923339599665491
2,-1.8233123937236817,1.504988661774078,5.701986427806472,-1.5442291563332884,-1.4021817638956735,-1.527818456013706,-0.38382823378264813,-0.516746824128146,-1.2708995695109906,-1.5236471509942648,1.1462460571134738,-0.9754805813235551,-2.0753509258413736,-0.440326019331774,2.4867219277679697,0.6963870738549741
3,-2.027543863577995,1.767846575716911,4.379236014555697,-2.5834390458013106,-2.5736545614956268,-2.2084543503003093,3.3098187985535734,-0.37249102970626813,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
4,-1.8396893636023706,0.8773742291934277,3.059818646541685,-1.6860178696950987,-1.6013701062022483,-1.2988311682564548,1.4579332257776023,-0.05202915298773329,0.022303640872298944,0.4666243443823853,0.48011236597490126,0.16064134347421244,-1.8247397291027232,0.6457589614211281,1.1066206159681897,2.0670879500036614
5,-1.1825497799903146,1.1811516061846432,3.888181905852062,-1.0196770396807606,-0.7868241133229867,-0.7128627370143259,1.0973761564505455,-0.2166042701536112,-1.7710501970096686,1.1441191177545607,1.7721907200630944,-0.8454758233700242,-2.1600665337711913,-0.48580437033598206,1.040247913624496,-1.3413961092589246
6,0.42177569493998235,2.17732943828253,3.1173152880546176,0.18530583396562034,0.052465744493540724,1.6157461162373767,1.2531853800287158,0.6650877266541803,-0.36928790183314,-0.39797990369970737,2.444240177495852,-0.0715759337083406,-1.5129247553154255,-0.43496996623202705,0.29836388011323645,0.7464585425589484
7,-1.1825497799903146,-0.2651564830210424,1.936501083059616,-1.0196770396807606,-1.5361804117258313,-0.7128627370143259,0.23781258742923048,-1.2011691344882076,-2.183761426413028,-2.2095118847847504,1.7587857245339584,0.9066703429826748,-0.8960162150976172,2.027343999918969,-0.8466675133346032,-1.7953714092607722
8,-3.249282172625832,1.366557582672427,6.975394169919178,-2.9545172165689806,-3.4681038436305602,-4.037822873835127,1.2344415214992834,-0.8862146809588622,-2.415956507097468,-0.5322247691442188,3.9024020704487983,-2.0761959008054993,-2.070224470306805,-3.096802390110173,1.2034463335593226,-0.7215695432342614
9,-1.9916069060617905,0.21202958227484586,3.302161490463473,-1.1550384537028435,-1.7986545712114579,-1.0186059120294402,0.8477079608661424,-1.1375393879832252,-1.7493319734670398,-0.7537023463481829,0.7765163665331185,0.13219579477176943,-0.6150094790943675,-1.1238727420367598,2.6968559697221597,-1.0485668246644093
